synset	lucid_label	tfrecord_label	name
n02119789	1	279	kit_fox
n02100735	2	213	English_setter
n02110185	3	251	Siberian_husky
n02096294	4	194	Australian_terrier
n02102040	5	218	English_springer
n02066245	6	148	grey_whale
n02509815	7	388	lesser_panda
n02124075	8	286	Egyptian_cat
n02417914	9	351	ibex
n02123394	10	284	Persian_cat
n02125311	11	287	cougar
n02423022	12	354	gazelle
n02346627	13	335	porcupine
n02077923	14	151	sea_lion
n02110063	15	250	malamute
n02447366	16	363	badger
n02109047	17	247	Great_Dane
n02089867	18	167	Walker_hound
n02102177	19	219	Welsh_springer_spaniel
n02091134	20	173	whippet
n02092002	21	178	Scottish_deerhound
n02071294	22	149	killer_whale
n02442845	23	358	mink
n02504458	24	387	African_elephant
n02092339	25	179	Weimaraner
n02098105	26	203	soft-coated_wheaten_terrier
n02096437	27	195	Dandie_Dinmont
n02114712	28	272	red_wolf
n02105641	29	230	Old_English_sheepdog
n02128925	30	291	jaguar
n02091635	31	176	otterhound
n02088466	32	164	bloodhound
n02096051	33	192	Airedale
n02117135	34	277	hyena
n02138441	35	300	meerkat
n02097130	36	198	giant_schnauzer
n02493509	37	381	titi
n02457408	38	365	three-toed_sloth
n02389026	39	340	sorrel
n02443484	40	360	black-footed_ferret
n02110341	41	252	dalmatian
n02089078	42	166	black-and-tan_coonhound
n02086910	43	158	papillon
n02445715	44	362	skunk
n02093256	45	180	Staffordshire_bullterrier
n02113978	46	269	Mexican_hairless
n02106382	47	234	Bouvier_des_Flandres
n02441942	48	357	weasel
n02113712	49	267	miniature_poodle
n02113186	50	265	Cardigan
n02105162	51	226	malinois
n02415577	52	350	bighorn
n02356798	53	336	fox_squirrel
n02488702	54	376	colobus
n02123159	55	283	tiger_cat
n02098413	56	205	Lhasa
n02422699	57	353	impala
n02114855	58	273	coyote
n02094433	59	188	Yorkshire_terrier
n02111277	60	257	Newfoundland
n02132136	61	295	brown_bear
n02119022	62	278	red_fox
n02091467	63	175	Norwegian_elkhound
n02106550	64	235	Rottweiler
n02422106	65	352	hartebeest
n02091831	66	177	Saluki
n02120505	67	281	grey_fox
n02104365	68	224	schipperke
n02086079	69	155	Pekinese
n02112706	70	263	Brabancon_griffon
n02098286	71	204	West_Highland_white_terrier
n02095889	72	191	Sealyham_terrier
n02484975	73	371	guenon
n02137549	74	299	mongoose
n02500267	75	385	indri
n02129604	76	293	tiger
n02090721	77	171	Irish_wolfhound
n02396427	78	343	wild_boar
n02108000	79	242	EntleBucher
n02391049	80	341	zebra
n02412080	81	349	ram
n02108915	82	246	French_bulldog
n02480495	83	366	orangutan
n02110806	84	254	basenji
n02128385	85	289	leopard
n02107683	86	240	Bernese_mountain_dog
n02085936	87	154	Maltese_dog
n02094114	88	186	Norfolk_terrier
n02087046	89	159	toy_terrier
n02100583	90	212	vizsla
n02096177	91	193	cairn
n02494079	92	383	squirrel_monkey
n02105056	93	225	groenendael
n02101556	94	217	clumber
n02123597	95	285	Siamese_cat
n02481823	96	368	chimpanzee
n02105505	97	229	komondor
n02088094	98	161	Afghan_hound
n02085782	99	153	Japanese_spaniel
n02489166	100	377	proboscis_monkey
n02364673	101	339	guinea_pig
n02114548	102	271	white_wolf
n02134084	103	297	ice_bear
n02480855	104	367	gorilla
n02090622	105	170	borzoi
n02113624	106	266	toy_poodle
n02093859	107	184	Kerry_blue_terrier
n02403003	108	346	ox
n02097298	109	200	Scotch_terrier
n02108551	110	245	Tibetan_mastiff
n02493793	111	382	spider_monkey
n02107142	112	237	Doberman
n02096585	113	196	Boston_bull
n02107574	114	239	Greater_Swiss_Mountain_dog
n02107908	115	241	Appenzeller
n02086240	116	156	Shih-Tzu
n02102973	117	222	Irish_water_spaniel
n02112018	118	260	Pomeranian
n02093647	119	182	Bedlington_terrier
n02397096	120	344	warthog
n02437312	121	355	Arabian_camel
n02483708	122	370	siamang
n02097047	123	197	miniature_schnauzer
n02106030	124	232	collie
n02099601	125	208	golden_retriever
n02093991	126	185	Irish_terrier
n02110627	127	253	affenpinscher
n02106166	128	233	Border_collie
n02326432	129	332	hare
n02108089	130	243	boxer
n02097658	131	202	silky_terrier
n02088364	132	163	beagle
n02111129	133	256	Leonberg
n02100236	134	211	German_short-haired_pointer
n02486261	135	372	patas
n02115913	136	275	dhole
n02486410	137	373	baboon
n02487347	138	374	macaque
n02099849	139	210	Chesapeake_Bay_retriever
n02108422	140	244	bull_mastiff
n02104029	141	223	kuvasz
n02492035	142	379	capuchin
n02110958	143	255	pug
n02099429	144	207	curly-coated_retriever
n02094258	145	187	Norwich_terrier
n02099267	146	206	flat-coated_retriever
n02395406	147	342	hog
n02112350	148	262	keeshond
n02109961	149	249	Eskimo_dog
n02101388	150	216	Brittany_spaniel
n02113799	151	268	standard_poodle
n02095570	152	190	Lakeland_terrier
n02128757	153	290	snow_leopard
n02101006	154	215	Gordon_setter
n02115641	155	274	dingo
n02097209	156	199	standard_schnauzer
n02342885	157	334	hamster
n02097474	158	201	Tibetan_terrier
n02120079	159	280	Arctic_fox
n02095314	160	189	wire-haired_fox_terrier
n02088238	161	162	basset
n02408429	162	347	water_buffalo
n02133161	163	296	American_black_bear
n02328150	164	333	Angora
n02410509	165	348	bison
n02492660	166	380	howler_monkey
n02398521	167	345	hippopotamus
n02112137	168	261	chow
n02510455	169	389	giant_panda
n02093428	170	181	American_Staffordshire_terrier
n02105855	171	231	Shetland_sheepdog
n02111500	172	258	Great_Pyrenees
n02085620	173	152	Chihuahua
n02123045	174	282	tabby
n02490219	175	378	marmoset
n02099712	176	209	Labrador_retriever
n02109525	177	248	Saint_Bernard
n02454379	178	364	armadillo
n02111889	179	259	Samoyed
n02088632	180	165	bluetick
n02090379	181	169	redbone
n02443114	182	359	polecat
n02361337	183	337	marmot
n02105412	184	228	kelpie
n02483362	185	369	gibbon
n02437616	186	356	llama
n02107312	187	238	miniature_pinscher
n02325366	188	331	wood_rabbit
n02091032	189	172	Italian_greyhound
n02129165	190	292	lion
n02102318	191	220	cocker_spaniel
n02100877	192	214	Irish_setter
n02074367	193	150	dugong
n02504013	194	386	Indian_elephant
n02363005	195	338	beaver
n02102480	196	221	Sussex_spaniel
n02113023	197	264	Pembroke
n02086646	198	157	Blenheim_spaniel
n02497673	199	384	Madagascar_cat
n02087394	200	160	Rhodesian_ridgeback
n02127052	201	288	lynx
n02116738	202	276	African_hunting_dog
n02488291	203	375	langur
n02091244	204	174	Ibizan_hound
n02114367	205	270	timber_wolf
n02130308	206	294	cheetah
n02089973	207	168	English_foxhound
n02105251	208	227	briard
n02134418	209	298	sloth_bear
n02093754	210	183	Border_terrier
n02106662	211	236	German_shepherd
n02444819	212	361	otter
n01882714	213	106	koala
n01871265	214	102	tusker
n01872401	215	103	echidna
n01877812	216	105	wallaby
n01873310	217	104	platypus
n01883070	218	107	wombat
n04086273	219	764	revolver
n04507155	220	880	umbrella
n04147183	221	781	schooner
n04254680	222	806	soccer_ball
n02672831	223	402	accordion
n02219486	224	311	ant
n02317335	225	328	starfish
n01968897	226	118	chambered_nautilus
n03452741	227	580	grand_piano
n03642806	228	621	laptop
n07745940	229	950	strawberry
n02690373	230	405	airliner
n04552348	231	896	warplane
n02692877	232	406	airship
n02782093	233	418	balloon
n04266014	234	813	space_shuttle
n03344393	235	555	fireboat
n03447447	236	577	gondola
n04273569	237	815	speedboat
n03662601	238	626	lifeboat
n02951358	239	473	canoe
n04612504	240	915	yawl
n02981792	241	485	catamaran
n04483307	242	872	trimaran
n03095699	243	511	container_ship
n03673027	244	629	liner
n03947888	245	725	pirate
n02687172	246	404	aircraft_carrier
n04347754	247	834	submarine
n04606251	248	914	wreck
n03478589	249	587	half_track
n04389033	250	848	tank
n03773504	251	658	missile
n02860847	252	451	bobsled
n03218198	253	538	dogsled
n02835271	254	445	bicycle-built-for-two
n03792782	255	672	mountain_bike
n03393912	256	566	freight_car
n03895866	257	706	passenger_car
n02797295	258	429	barrow
n04204347	259	792	shopping_cart
n03791053	260	671	motor_scooter
n03384352	261	562	forklift
n03272562	262	548	electric_locomotive
n04310018	263	821	steam_locomotive
n02704792	264	409	amphibian
n02701002	265	408	ambulance
n02814533	266	437	beach_wagon
n02930766	267	469	cab
n03100240	268	512	convertible
n03594945	269	610	jeep
n03670208	270	628	limousine
n03770679	271	657	minivan
n03777568	272	662	Model_T
n04037443	273	752	racer
n04285008	274	818	sports_car
n03444034	275	574	go-kart
n03445924	276	576	golfcart
n03785016	277	666	moped
n04252225	278	804	snowplow
n03345487	279	556	fire_engine
n03417042	280	570	garbage_truck
n03930630	281	718	pickup
n04461696	282	865	tow_truck
n04467665	283	868	trailer_truck
n03796401	284	676	moving_van
n03977966	285	735	police_van
n04065272	286	758	recreational_vehicle
n04335435	287	830	streetcar
n04252077	288	803	snowmobile
n04465501	289	867	tractor
n03776460	290	661	mobile_home
n04482393	291	871	tricycle
n04509417	292	881	unicycle
n03538406	293	604	horse_cart
